site_name,vacancy_name,vacancy_link,vacancy_city,employer,employer_hh_link,min_salary,max_salary
HeadHunter (hh.ru),Юрист / юрисконсульт,https://hh.ru/vacancy/38992703?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, Два М,https://hh.ru/employer/101253,70000.0,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38919981?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Босла,https://hh.ru/employer/1805484,70000.0,
HeadHunter (hh.ru),Младший юрисконсульт (начинающий специалист),https://hh.ru/vacancy/39029398?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва," АГАМА, Группа компаний",https://hh.ru/employer/35143,40000.0,50000.0
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38622446?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,АО Уголь-Транс,https://hh.ru/employer/15250,100000.0,
HeadHunter (hh.ru),Юрисконсульт (кинотеатральное производство),https://hh.ru/vacancy/39033231?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, Rambler Group,https://hh.ru/employer/8620,,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/39017372?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, ПИКАССО,https://hh.ru/employer/737268,50000.0,60000.0
HeadHunter (hh.ru),Ведущий юрисконсульт,https://hh.ru/vacancy/39018179?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО УК ФМ Москва,https://hh.ru/employer/3854371,70000.0,100000.0
HeadHunter (hh.ru),Главный юрисконсульт,https://hh.ru/vacancy/39048075?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, Корпоративный университет Сбербанка,https://hh.ru/employer/1388900,,
HeadHunter (hh.ru),Юрисконсульт по судебной работе,https://hh.ru/vacancy/39017209?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Эколайф,https://hh.ru/employer/3912117,,
HeadHunter (hh.ru),Юрисконсульт по договорной работе,https://hh.ru/vacancy/39036067?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,"АО ГВСУ Центр, Холдинговая компания",https://hh.ru/employer/221515,,80000.0
HeadHunter (hh.ru),Помощник юриста,https://hh.ru/vacancy/38612918?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Рольф,https://hh.ru/employer/4794688,85000.0,100000.0
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/39018373?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, ФГКУ Росгранстрой,https://hh.ru/employer/2845242,,
HeadHunter (hh.ru),Ассистент юрисконсульта/делопроизводитель,https://hh.ru/vacancy/39013766?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, Московская академия народного хозяйства и государственной службы,https://hh.ru/employer/3359101,35000.0,40000.0
HeadHunter (hh.ru),Ведущий юрист/Руководитель юридического отдела,https://hh.ru/vacancy/39033498?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,,,,
HeadHunter (hh.ru),Главный юрисконсульт,https://hh.ru/vacancy/39048475?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва," Союз машиностроителей , Общероссийское отраслевое объединение работодателей",https://hh.ru/employer/553081,70000.0,
HeadHunter (hh.ru),Специалист 1 категории (Помощник юриста),https://hh.ru/vacancy/38952783?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, ПАО «КАМАЗ»,https://hh.ru/employer/52951?dpt=kamas-52951-mate,50000.0,50000.0
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38870128?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, Корпорация ЭЛАР,https://hh.ru/employer/4526,80000.0,
HeadHunter (hh.ru),Помощник юриста / юрисконсульт / юрист / младший юрист,https://hh.ru/vacancy/38461335?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО ЮК Защита,https://hh.ru/employer/3600009,,50000.0
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/39049050?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, MERLION,https://hh.ru/employer/816,,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/39046802?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва, ФГБУ Федеральный экспертно-правовой центр агропромышленного комплекса,https://hh.ru/employer/1561193,,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/39049608?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Открытие Факторинг,https://hh.ru/employer/2249870,,
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/38974682?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Юридическое Бюро Новикова и Партнеры,https://hh.ru/employer/4567971,80000.0,100000.0
HeadHunter (hh.ru),Юрисконсульт,https://hh.ru/vacancy/39008229?query=%D1%8E%D1%80%D0%B8%D1%81%D0%BA%D0%BE%D0%BD%D1%81%D1%83%D0%BB%D1%8C%D1%82,Москва,ООО Флагман Ремонта,https://hh.ru/employer/4767532,60000.0,80000.0
